Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,,
2026-01-20,177.85308837890625,178.07000732421875,182.3800048828125,177.61000061035156,181.89999389648438,223345300
2026-01-21,183.09669494628906,183.32000732421875,185.3800048828125,178.39999389648438,179.0500030517578,200381000
2026-01-22,184.6148223876953,184.83999633789062,186.1699981689453,183.92999267578125,184.75,139636600
2026-01-23,187.44137573242188,187.6699981689453,189.60000610351562,186.82000732421875,187.5,142748100
2026-01-26,186.2428436279297,186.47000122070312,189.1199951171875,185.99000549316406,187.16000366210938,124799600
2026-01-27,188.29034423828125,188.52000427246094,190.0,185.6999969482422,187.24000549316406,143711600
2026-01-28,191.28668212890625,191.52000427246094,192.35000610351562,189.83999633789062,191.27000427246094,148552700
2026-01-29,192.27548217773438,192.50999450683594,193.47999572753906,186.05999755859375,191.33999633789062,171764400
2026-01-30,190.8971710205078,191.1300048828125,194.49000549316406,189.47000122070312,191.2100067138672,179489500
2026-02-02,185.38388061523438,185.61000061035156,190.3000030517578,184.8800048828125,187.1999969482422,165794100
2026-02-03,180.12030029296875,180.33999633789062,186.27000427246094,176.22999572753906,186.24000549316406,204019600
2026-02-04,173.97781372070312,174.19000244140625,179.5800018310547,171.91000366210938,179.4600067138672,207014100
2026-02-05,171.67062377929688,171.8800048828125,176.82000732421875,171.02999877929688,174.92999267578125,206312900
2026-02-06,185.18414306640625,185.41000366210938,187.0,174.60000610351562,176.69000244140625,231346200
2026-02-09,189.80848693847656,190.0399932861328,193.66000366210938,183.9499969482422,184.25999450683594,196387400
2026-02-10,188.31031799316406,188.5399932861328,192.47999572753906,188.1199951171875,191.3800048828125,136764800
2026-02-11,189.81849670410156,190.0500030517578,193.25999450683594,188.77000427246094,192.4499969482422,144192700
2026-02-12,186.7122802734375,186.94000244140625,193.61000061035156,186.50999450683594,193.02999877929688,189932500
2026-02-13,182.58729553222656,182.80999755859375,187.5,181.58999633789062,187.47999572753906,161888000
2026-02-17,184.7446746826172,184.97000122070312,187.14999389648438,179.17999267578125,181.75,162276900
2026-02-18,187.75099182128906,187.97999572753906,190.3699951171875,186.75999450683594,188.75,164749100
2026-02-19,187.6710968017578,187.89999389648438,188.42999267578125,185.66000366210938,187.05999755859375,126554500
2026-02-20,189.58877563476562,189.82000732421875,190.3300018310547,185.94000244140625,186.57000732421875,178422300
2026-02-23,191.316650390625,191.5500030517578,193.9499969482422,189.5800018310547,191.39999389648438,171584800
2026-02-24,192.61508178710938,192.85000610351562,193.77000427246094,187.39999389648438,191.49000549316406,175123600
2026-02-25,195.32176208496094,195.55999755859375,197.6300048828125,193.7899932861328,194.4499969482422,250637100
2026-02-26,184.66476440429688,184.88999938964844,194.2899932861328,184.32000732421875,194.27000427246094,360807900
2026-02-27,176.97415161132812,177.19000244140625,182.58999633789062,176.3800048828125,181.25,311636500
2026-03-02,182.25770568847656,182.47999572753906,183.4600067138672,174.63999938964844,175.00999450683594,209095300
2026-03-03,179.83065795898438,180.0500030517578,180.89999389648438,176.9199981689453,178.49000549316406,178099400
2026-03-04,182.8170166015625,183.0399932861328,184.6999969482422,180.05999755859375,180.44000244140625,177731200
2026-03-05,183.11663818359375,183.33999633789062,184.05999755859375,177.8800048828125,181.1699981689453,198779700
2026-03-06,177.6033935546875,177.82000732421875,182.75999450683594,176.82000732421875,179.83999633789062,189021900
2026-03-09,182.427490234375,182.64999389648438,182.91000366210938,175.55999755859375,176.8300018310547,177213600
